ID,Country/Region of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration
189,Taiwan,??????29??????,A38-Northern Taiwan Specialty Coffee Evaluation,??????29??????,,Taiwu Coffee Cooperative,435,?????????,?????????,1,8 kg,Taiwan Coffee Laboratory ?????????????????????,2021 / 2022,"January 6th, 2023",Taiwu,unknown,Completed,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10,10,10,7.33,0,81.5,8.5,0,0,green,0,"January 6th, 2024"
190,Thailand,Doi Tung Development Project,JAVA 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Doi Tung Development Project,Java,Completed,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10,10,10,7.17,0,81.42,11.6,2,0,green,1,"July 14th, 2023"
191,Thailand,Doi Lan,"The 2022 Pacific Rim Coffee Summit,TH07",Miramar Coffee,,Taiwan Coffee Laboratory,1400,Chiang Rai,Prakol Saelee,5,15 kg,Taiwan Coffee Laboratory ?????????????????????,2021,"November 15th, 2022",Full Sweet Coffee,Typica Bourbon Caturra Catimor,Completed,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10,10,10,7.25,0,81.33,10.5,0,0,yellowish,5,"November 15th, 2023"
192,Thailand,Doi Tung Development Project,MIXED 21/22 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,600-800,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2022,"July 14th, 2022",Doi Tung Development Project,Catimor,Completed,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10,10,10,7.17,0,81.17,10.4,0,0,green,0,"July 14th, 2023"
193,Colombia,Escalera,CQU2022019,Escalera,,Coffee Quality Union,1300-1800,Cauca,Escalera,1,30 kg,Japan Coffee Exchange,2021 / 2022,"December 22nd, 2022",Coffee Quality Union,"Caturra,Colombia,Castillo",Completed,Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10,10,10,7.33,0,81.17,11.4,0,2,greenish,2,"December 22nd, 2023"
194,Brazil,Various farm,0038,Dry Mill of Cocapil,002/1738/0038,Marubeni Corporation,1200,Alta Mogiana-Ibiraci,Cocapil,440,60 kg,Japan Coffee Exchange,2022 / 2023,"April 17th, 2023",Ikuto Uehara,,Completed,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10,10,10,7.25,0,81,10.6,0,2,greenish,1,"April 16th, 2024"
195,El Salvador,"Rosario de Maria II, Area de Loma Alta",0623C01,"Optimum Coffee, San Salvador, El Salvador",,Aprentium Enterprises LLC,1400,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Roselia Yglesias,Bourbon,Completed,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,10,10,7.17,0,80.83,10.5,0,8,bluish-green,7,"March 7th, 2024"
196,Nicaragua,EXPORTADORA ATLANTIC S.A,017/053/0603,Lavado,,ISHIMITSU,1100,,Varios Productores,275,69 kg,Japan Coffee Exchange,2021,"July 11th, 2022",????????????,Caturra,Completed,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,10,10,7.17,0,80.5,11.5,0,1,greenish,3,"July 11th, 2023"
197,Nicaragua,Sajonia Estate Coffee S.A.,1,Sajonia Estate Coffee S.A.,017/411,SAJONIA ESTATE COFFEE S.A.,1000,Jinotega,Sajonia Estate Coffee S.A.,275,69 kg,Asociaci??n de Caf??s Especiales de Nicaragua,2022 / 2023,"April 20th, 2023",SAJONIA ESTATE COFFEE S.A.,Sarchimor,Completed,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,10,10,7.17,0,80.42,11.2,0,0,green,5,"April 19th, 2024"
198,Colombia,Finca Mallorca,CQU2023001,Finca Mallorca,,Coffee Quality Union,1600,"Caicedonia,Valle del Cauca",Finca Mallorca,3,10 kg,Japan Coffee Exchange,2022,"March 6th, 2023",Coffee Quality Union,"Castillo,Caturra,Bourbon",Completed,Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,10,10,10,7.25,0,80.42,11,0,3,greenish,3,"March 5th, 2024"
199,Peru,Fundo La Libertad,PR137,Callao Plant,,Itochu Corporation,1600,"Chanchamayo, Lamerced",Sandro Crispin Espiritu,275,69 kg,Japan Coffee Exchange,2022 / 2023,"June 10th, 2022",Kiichiro Iwata,Caturra,Completed,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10,10,10,7,0,80.33,11.8,0,6,greenish,11,"June 10th, 2023"
200,El Salvador,"Rosario de Maria II, Area de Menjivar",0523B01,"Optimum Coffee, San Salvador, El Salvador",,Aprentium Enterprises LLC,1300,"Volcan Chinchontepek, San Vicente, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Roselia Yglesias,Pacas,Completed,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,10,10,7,0,80.33,11.5,0,10,bluish-green,7,"March 7th, 2024"
201,Brazil,Various farm,002/1738/0029,Dry mill,002/1738/0029,marubeni,1200,Alta Mogiana-Ibiraci,COCAPIL,440,60 kg,Japan Coffee Exchange,2021 / 2022,"July 20th, 2022",Ikuto Uehara,Catuai and Mundo Novo,Completed,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10,10,10,7.17,0,80.17,11.6,0,1,greenish,2,"July 20th, 2023"
202,Brazil,Fazenda Conquista,019/22,Dry Mill,,Ipanema Coffees,950,Sul de Minas,Ipanema Coffees,2240,60 kg,Brazil Specialty Coffee Association,2022 / 2023,"February 2nd, 2023",Ipanema Coffees,Mundo Novo,Completed,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,10,10,7.08,0,80.08,11.4,0,0,green,4,"February 2nd, 2024"
203,Nicaragua,Finca San Felipe,017-053-0155,Beneficio Atlantic S??baco,017-053-0155,Exportadora Atlantic S.A,1200,Matagalpa,Exportadora Atlantic S.A.,300,30 kg,Asociaci??n de Caf??s Especiales de Nicaragua,2022 / 2023,"March 3rd, 2023","Exportadora Atlantic, S.A.",SHG,Completed,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10,10,10,7.08,0,80,10.4,0,2,green,12,"March 2nd, 2024"
204,Laos,-,105/3/VL7285-005,DRY MILL,105/3/VL7285-005,Marubeni Corporation,1300,Bolaven Plateau,"LAO MINH TIEN COFFEE SOLE CO.,LTD",343,60 kg,Japan Coffee Exchange,2021 / 2022,"November 11th, 2022",Ikuto Uehara,Catimor,Completed,Washed / Wet,7.25,7.17,7.08,7,7.08,7.08,10,10,10,7,0,79.67,11.6,0,9,green,11,"November 11th, 2023"
205,El Salvador,"Rosario de Maria II, Area de La Pila",0423A01,"Optimum Coffee, San Salvador, El Salvador",,Aprentium Enterprises LLC,1200,"Volcan de San Vicente, La Paz, El Salvador",Roselia Yglesias,1,2 kg,Salvadoran Coffee Council,2023,"March 8th, 2023",Roselia Yglesias,Maragogype,Completed,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,10,10,10,6.83,0,78.08,11,0,12,bluish-green,13,"March 7th, 2024"
206,Brazil,Walter Matter,1058 y 1059,Beneficio humedo/seco,002/1208/1016,Descafeinadores Mexicano SA. de CV,850-1100,Minas Gerais,Walter Matter,600,60 kg,Centro Agroecol??gico del Caf?? A.C.,2021 / 2022,"November 18th, 2022",Descafeinadores Mexicanos S.A de C.V,Mundo Novo,Completed,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10,10,10,6.67,0,78,11.3,0,0,green,1,"November 18th, 2023"
